category,hyperlink,fauna
Extinct:,#frogs_extinct,frogs
Extinct:,#birds_extinct,birds
Extinct:,#mammals_extinct,mammals
Extinct:,#other_animals_extinct,other animals
Extinct in the wild:,#fishes_extinct_in_the_wild,fishes
Critically Endangered:,#fishes_critically_endangered,fishes
Critically Endangered:,#frogs_critically_endangered,frogs
Critically Endangered:,#reptiles_critically_endangered,reptiles
Critically Endangered:,#birds_critically_endangered,birds
Critically Endangered:,#mammals_critically_endangered,mammals
Critically Endangered:,#other_animals_critically_endangered,other animals
Endangered:,#fishes_endangered,fishes
Endangered:,#frogs_endangered,frogs
Endangered:,#reptiles_endangered,reptiles
Endangered:,#birds_endangered,birds
Endangered:,#mammals_endangered,mammals
Endangered:,#other_animals_endangered,other animals
Vulnerable:,#fishes_vulnerable,fishes
Vulnerable:,#frogs_vulnerable,frogs
Vulnerable:,#reptiles_vulnerable,reptiles
Vulnerable:,#birds_vulnerable,birds
Vulnerable:,#mammals_vulnerable,mammals
Vulnerable:,#other_animals_vulnerable,other animals
Conservation dependent:,#fishes_conservation_dependent,fishes
Total,,Fauna (518)
